Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Pre Seed Round - Palabra.ai,https://www.crunchbase.com/funding_round/palabra-ai-pre-seed--19ab5ea0,Palabra.ai,https://www.crunchbase.com/organization/palabra-ai,Pre-Seed,8400000,USD,8400000,2025-08-14,"Palabra AI is a cutting-edge AI-powered platform that enables real-time speech translation for events, video calls, streaming, and API","Artificial Intelligence (AI), Real Time",https://palabra.ai/,Seven Seven Six,"Akin Babayigit, Anne Lee Skates, Creator Ventures, Max Mullen, Mehdi Ghissassi, Namat Bahram, Seven Seven Six"
Series A - IdentifAI,https://www.crunchbase.com/funding_round/identifai-693b-series-a--52fb4dca,IdentifAI,https://www.crunchbase.com/organization/identifai-693b,Series A,5000000,EUR,5886959,2025-07-24,IdentifAI specializes in designing and training (de)generative models for detecting deepfake and fakenews.,"Artificial Intelligence (AI), FinTech, Machine Learning, Social Media",https://identifai.net/,United Ventures,United Ventures
Series B - Quilter,https://www.crunchbase.com/funding_round/quilter-series-b--9d423915,Quilter,https://www.crunchbase.com/organization/quilter,Series B,25000000,USD,25000000,2025-10-08,Quilter develops physics-based autonomous AI software for printed circuit board (PCB) design aimed at accelerating hardware development.,"Artificial Intelligence (AI), Electronics, Software",https://www.quilter.ai/,Index Ventures,Index Ventures
Series A - Anything,https://www.crunchbase.com/funding_round/create-3800-series-a--13cf67ff,Anything,https://www.crunchbase.com/organization/create-3800,Series A,11000000,USD,11000000,2025-09-29,"Anything is an AI app builder that lets people make money on the internet. Ships mobile apps & web, designs pop, and everything built in.","Artificial Intelligence (AI), Developer Tools, Mobile Apps, Software, Web Design, Web Development",https://www.createanything.com,Footwork,"Bessemer Venture Partners, Footwork, M13, Uncork Capital"
Series B - speakX,https://www.crunchbase.com/funding_round/yellow-class-series-b--eb0d7b56,speakX,https://www.crunchbase.com/organization/yellow-class,Series B,16000000,USD,16000000,2025-10-14,SpeakX is an AI powered English Speaking App,"Artificial Intelligence (AI), Education, Language Learning",https://www.speakx.ai,WestBridge Capital,"Elevation Capital, Goodwater Capital, Ronnie Screwvala, Shyamal Hitesh Anadkat, WestBridge Capital"
Seed Round - Empirical Security,https://www.crunchbase.com/funding_round/empirical-security-8ec5-seed--f63c952f,Empirical Security,https://www.crunchbase.com/organization/empirical-security-8ec5,Seed,11935326,USD,11935326,2025-07-17,Empirical builds mathematical models for security data.,"Artificial Intelligence (AI), Cyber Security, Network Security",https://www.empiricalsecurity.com/,Costanoa Ventures,"Costanoa Ventures, DNX Ventures, Gerhard Eschelbeck, HPA Holding, Jonathan Cran, Sixty Degree Capital, Wade Baker"
Series A - Heron Data,https://www.crunchbase.com/funding_round/heron-series-a--234b3eb0,Heron Data,https://www.crunchbase.com/organization/heron,Series A,16600000,USD,16600000,2025-07-15,"Heron Data utilizes AI to automate document intake, extraction, and enrichment in the lending, equipment finance, and insurance industries.","Artificial Intelligence (AI), Document Management, Financial Exchanges, FinTech, InsurTech, SaaS",http://www.herondata.io,Insight Partners,"BoxGroup, Flex Capital, Insight Partners, Y Combinator"
Seed Round - Translucent AI,https://www.crunchbase.com/funding_round/translucent-ai-seed--87ec6591,Translucent AI,https://www.crunchbase.com/organization/translucent-ai,Seed,7000000,USD,7000000,2025-08-06,Translucent AI develops an AI-powered financial platform tailored for healthcare operators.,"Artificial Intelligence (AI), Financial Services, Health Care",https://www.translucent.co/,New Enterprise Associates,"FPV Ventures, New Enterprise Associates, Redesign Health, Virtue"
Seed Round - Telepatia,https://www.crunchbase.com/funding_round/telepatia-seed--16467b29,Telepatia,https://www.crunchbase.com/organization/telepatia,Seed,9000000,USD,9000000,2025-10-10,Telepatia is a health tech platform that utilizes artificial intelligence to support medical professionals.,"Artificial Intelligence (AI), Health Care",https://www.telepatia.ai/,A*,"A*, Abstract, Canary, Nido Ventures, Picus Capital, SV Angel"
Series A - Arvo,https://www.crunchbase.com/funding_round/arvo-6fcc-series-a--65007ba7,Arvo,https://www.crunchbase.com/organization/arvo-6fcc,Series A,106000000,BRL,20006361,2025-09-17,Arvo is a healthcare technology startup that uses artificial intelligence to secure the integrity of healthcare transactions.,"Artificial Intelligence (AI), Health Care",https://www.arvo.com.br/,"Base10 Partners, Kaszek","Actions Capital (fka K50 Ventures), Base10 Partners, Canary, Kaszek"
Seed Round - ABAD4D,https://www.crunchbase.com/funding_round/almanak-seed--53209821,ABAD4D,https://www.crunchbase.com/organization/almanak,Seed,8450000,USD,8450000,2025-08-17,"ABAD4D is a DeFi smart agent platform that leverages AI to automate, optimize, and manage DeFi investment strategies.","Artificial Intelligence (AI), Decentralized Finance (DeFi)",https://monitorketua.pages.dev/,,"AppWorks, Bankless Ventures, Delphi Labs, HashKey Capital, Matrix Partners, NEAR Foundation, RockawayX, Shima Capital, Sparkle Ventures"
Seed Round - Spacial,https://www.crunchbase.com/funding_round/spacial-8e79-seed--878cbec9,Spacial,https://www.crunchbase.com/organization/spacial-8e79,Seed,10000000,USD,10000000,2025-10-28,Spacial AI turns your 2D plans into stamped structural and MEP permit sets in days using AI plus licensed engineer review.,"3D Technology, Architecture, Artificial Intelligence (AI), Civil Engineering, Construction",https://spacial.io,TLV Partners,"Home Technology Ventures, Mango Capital, RE Angels, TLV Partners"
Seed Round - Geolava,https://www.crunchbase.com/funding_round/geolava-seed--84c71aca,Geolava,https://www.crunchbase.com/organization/geolava,Seed,4300000,USD,4300000,2025-07-29,Geolava brings spatial reasoning to the built world.,"Analytics, Artificial Intelligence (AI), Commercial Real Estate, Computer Vision, FinTech, Generative AI, Geospatial",https://www.geolava.com,Luge Capital,"E2MC Ventures, Luge Capital, Suffolk Technologies"
Seed Round - Kluisz.ai,https://www.crunchbase.com/funding_round/kluisz-ai-seed--a4ce1578,Kluisz.ai,https://www.crunchbase.com/organization/kluisz-ai,Seed,9600000,USD,9600000,2025-07-23,Kluisz.ai is a startup focused on building a generative AI -powered private cloud platform.,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, GPU, Security",https://kluisz.ai,RTP Global,"Aditya Virwani, Blume Ventures, Climber Capital, Dr Ritesh Malik, Ritesh Agarwal, RTP Global, Unicorn India Ventures"
Series A - Datacurve,https://www.crunchbase.com/funding_round/datacurve-476e-series-a--ae1d8e85,Datacurve,https://www.crunchbase.com/organization/datacurve-476e,Series A,15000000,USD,15000000,2025-10-09,Datacurve specializes in high-volume data production and aims to redefine AI capabilities through premium training data for coding tasks,"Artificial Intelligence (AI), Information Technology, Internet, Software Engineering",https://datacurve.ai,Chemistry,"Afore Capital, Chemistry, Homebrew, Y Combinator"
Seed Round - Honey Health,https://www.crunchbase.com/funding_round/honeyhealth-seed--6fa5a6db,Honey Health,https://www.crunchbase.com/organization/honeyhealth,Seed,7800000,USD,7800000,2025-10-27,"Honey Health provides AI agents that automate back-office tasks in healthcare, streamlining processes such as faxes, refills, and referrals.","Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Software, Wellness",https://www.honeyhealth.ai,Pelion Venture Partners,"8-Bit Capital, Burst Capital, Pelion Venture Partners, Streamlined"
Series A - FERNRIDE,https://www.crunchbase.com/funding_round/fernride-series-a--8610e37d,FERNRIDE,https://www.crunchbase.com/organization/fernride,Series A,18000000,EUR,20982200,2025-09-04,FERNRIDE delivers a comprehensive ground autonomy platform to offer scalable automation solutions across industries.,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Logistics, Transportation",https://www.fernride.com/,Helantic,"10x Founders, DeepTech & Climate Fonds, Helantic, Thomas Müller"
Seed Round - Raiku,https://www.crunchbase.com/funding_round/raiku-seed--41e6e5bd,Raiku,https://www.crunchbase.com/organization/raiku,Seed,11250000,USD,11250000,2025-09-24,Raiku is a Web3 infrastructure startup focused on enhancing the Solana blockchain's reliability and predictability.,"Blockchain, Cryptocurrency, Finance",https://www.raiku.com/,Pantera Capital,"Anatoly Yakovenko, Austin Federa, Faction, HashKey Capital, Julien Bouteloup, Jump Crypto, Kash Dhanda, Pantera Capital"
Series A - Encube Technologies,https://www.crunchbase.com/funding_round/encube-technologies-1ab6-series-a--616dff31,Encube Technologies,https://www.crunchbase.com/organization/encube-technologies-1ab6,Series A,23000000,USD,23000000,2025-10-16,Encube Technologies operates as a visual collaboration platform.,"3D Technology, Artificial Intelligence (AI)",https://www.getencube.com/,,"Inventure, Kinnevik, Promus Ventures"
Series A - Kernel,https://www.crunchbase.com/funding_round/kernel-b2a4-series-a--7eee3140,Kernel,https://www.crunchbase.com/organization/kernel-b2a4,Series A,16000000,USD,16000000,2025-10-09,Kernel is a developer platform that provides Crazy Fast Browser Infrastructure for AI agents to use the internet.,"Artificial Intelligence (AI), Developer APIs, Developer Platform, Information Technology, SaaS, Software",https://www.onkernel.com,Accel,"Accel, Cintrifuse Capital, Paul Graham, Refinery Ventures, SV Angel, Vercel, Y Combinator"
Seed Round - The Prompting Company,https://www.crunchbase.com/funding_round/the-prompting-company-seed--e2a1805b,The Prompting Company,https://www.crunchbase.com/organization/the-prompting-company,Seed,6500000,USD,6500000,2025-10-30,The Prompting Company analyzes and creates AI-optimized content for products to gain visibility in AI-generated answers.,"Artificial Intelligence (AI), B2B, SaaS, Software",https://promptingcompany.com,Peak XV Partners,"Base10 Partners, firedrop, Logan Kilpatrick, Peak XV Partners, Y Combinator"
Seed Round - Depinsim,https://www.crunchbase.com/funding_round/depinsim-seed--abfbf564,Depinsim,https://www.crunchbase.com/organization/depinsim,Seed,8000000,USD,8000000,2025-10-24,DepinSim is a blockchain-based eSIM platform that lets users access global mobile data and earn rewards.,"Artificial Intelligence (AI), Decentralized Finance (DeFi), Web3",https://www.depinsim.com/,Outlier Ventures,"Becker Ventures, Bitrise Capital, DWF Labs, Mask Network, MYIE VC, Outlier Ventures, Silverline Labs"
Series A - Quandri,https://www.crunchbase.com/funding_round/quandri-series-a--47af64e1,Quandri,https://www.crunchbase.com/organization/quandri,Series A,12000000,CAD,8750852,2025-07-16,Quandri is a digital workers for insurance brokers & agencies.,"Artificial Intelligence (AI), Industrial Automation, Insurance, InsurTech, Machine Learning",https://www.quandri.io/,Framework Venture Partners,"Defined, Framework Venture Partners, FUSE, Intact Ventures"
Seed Round - Corridor,https://www.crunchbase.com/funding_round/corridor-f17c-seed--c47beb45,Corridor,https://www.crunchbase.com/organization/corridor-f17c,Seed,5400000,USD,5400000,2025-08-05,Corridor provides a security platform that guides AI coding tools and reviews code in real time.,"Artificial Intelligence (AI), Information Technology, Security",https://corridor.dev/,Conviction,"Casey Ellis, Christina Cacioppo, Conviction, Dylan Ayrey, Feross Aboukhadijeh, Freddy Dezeure, Jonathan Oberheide, Russell Kaplan, Ryan Kazanciyan, Sergej Epp"
Seed Round - Cyberwave,https://www.crunchbase.com/funding_round/cyberwave-a19a-seed--307238b6,Cyberwave,https://www.crunchbase.com/organization/cyberwave-a19a,Seed,7000000,EUR,8133756,2025-10-08,"Cyberwave provides an AI-native robotics platform enabling developers to build, test, and deploy autonomous systems for robots and assets.","Artificial Intelligence (AI), Robotic Process Automation (RPA), Software",https://cyberwave.com/,United Ventures,"Pi Campus, The Techshop, United Ventures, Vento"
Seed Round - Kilsar,https://www.crunchbase.com/funding_round/kilsar-seed--91234311,Kilsar,https://www.crunchbase.com/organization/kilsar,Seed,3700000,USD,3700000,2025-07-16,"Kilsar provides various services such as prototyping, developing, and commercializing innovative solutions.","Artificial Intelligence (AI), Business Intelligence, Space Travel",http://kilsar.com/,"Cotulla Capital, Lightbank","Cotulla Capital, Lightbank, ScaleWolf, Techstars"
Seed Round - Hipp Health,https://www.crunchbase.com/funding_round/hipp-health-seed--551cc83c,Hipp Health,https://www.crunchbase.com/organization/hipp-health,Seed,6200000,USD,6200000,2025-10-06,Hipp Health offers an AI-native platform that streamlines and automates behavioral health practice management operations.,"Artificial Intelligence (AI), Health Care, Software, Wellness",https://www.hipp.health,RTP Global,"Difference Partners, Rackhouse Venture Capital, RTP Global, Swift Ventures"
Seed Round - Conduct,https://www.crunchbase.com/funding_round/conduct-a418-seed--7adeb67c,Conduct,https://www.crunchbase.com/organization/conduct-a418,Seed,9000000,GBP,12253117,2025-09-18,Conduct is an AI solution firm that offers to solve the complex challenges of IT businesses.,"Artificial Intelligence (AI), IT Management, Service Industry",https://conduct.ai/,Creandum,"BOOOM, Creandum, Lucid Capital"
Seed Round - Astrus,https://www.crunchbase.com/funding_round/astrus-seed--db9a77d2,Astrus,https://www.crunchbase.com/organization/astrus,Seed,8000000,USD,8000000,2025-08-07,AI to automate microchip design,"AI Infrastructure, Artificial Intelligence (AI), Semiconductor, Software",https://www.astrus.ai,Khosla Ventures,"1517 Fund, Alumni Ventures, Drive Capital, Khosla Ventures, MVP Ventures, Pradeep Sindhu, RiSC Capital"
Pre Seed Round - Search Party,https://www.crunchbase.com/funding_round/search-party-pre-seed--249a8580,Search Party,https://www.crunchbase.com/organization/search-party,Pre-Seed,3500000,USD,3500000,2025-10-09,"Search Party is an AI platform that helps brands analyze, control, and protect how they appear in AI-generated answers.","Artificial Intelligence (AI), SaaS",https://www.searchparty.com,FUSE,FUSE
Series A - Born,https://www.crunchbase.com/funding_round/slay-ad58-series-a--0a72f102,Born,https://www.crunchbase.com/organization/slay-ad58,Series A,15000000,USD,15000000,2025-09-10,Born builds AI characters that grow and evolve to connect with users in social applications.,"Artificial Intelligence (AI), Gaming, Social Media",https://www.slay.cool,Accel,"Accel, Laton Ventures, Tencent"
Seed Round - yasp,https://www.crunchbase.com/funding_round/yasp-seed--602846a1,yasp,https://www.crunchbase.com/organization/yasp,Seed,5000000,USD,5000000,2025-09-25,"yasp is a cutting-edge technology to drive innovation, efficiency, and security.","Artificial Intelligence (AI), Information Technology, Software",https://yasp.ai/,Capnamic,"Capnamic, LeanIX, MBG Baden Wuerttemberg, Staffbase, Start-up BW Innovation Fonds"
Seed Round - Omen AI,https://www.crunchbase.com/funding_round/omen-a3a9-seed--4113d74b,Omen AI,https://www.crunchbase.com/organization/omen-a3a9,Seed,10500000,USD,10500000,2025-10-01,Omen AI focuses on building the Prediction Platform for the critical industries in the world.,"Artificial Intelligence (AI), Data Visualization, Hardware",https://omen.ai,CRV,"640 Oxford, Backwards Capital, Banter Capital, Bridgestone Americas, Caffeinated Capital, Chris Quinn, Cory Levy, CRV, Fengate Asset Management, General Motors, Genius Ventures, Karman Ventures, LMNT Ventures, Pareto Holdings, Silence VC, Vanderbilt University"
Seed Round - Vox AI,https://www.crunchbase.com/funding_round/vox-ai-seed--b3202305,Vox AI,https://www.crunchbase.com/organization/vox-ai,Seed,8700000,USD,8700000,2025-08-27,Advanced AI powered tool taking the drive-thru Customer Experience at Quick Service Restaurant locations,"Artificial Intelligence (AI), Generative AI, Restaurants",https://voxai.tech/,Headline,"Headline, Simon Capital, SousChef Ventures, True."
Seed Round - Innerworks,https://www.crunchbase.com/funding_round/innerworks-f4cd-seed--c179ed88,Innerworks,https://www.crunchbase.com/organization/innerworks-f4cd,Seed,4000000,USD,4000000,2025-08-18,Innerworks is building an immune system for the internet.,"Artificial Intelligence (AI), Cyber Security, Developer Tools, Information Technology, Machine Learning, Software",https://www.innerworks.me/,AlbionVC,"AlbionVC, Crypto.com, Digital Currency Group, Firestreak Ventures, Founders Capital, Metaversal, NVTBL Ventures"
Angel Round - BasePoint Origin,https://www.crunchbase.com/funding_round/basepoint-origin-angel--193acf39,BasePoint Origin,https://www.crunchbase.com/organization/basepoint-origin,Angel,100000000,CNY,14041986,2025-09-09,"BasePoint Origin develops AI OS that automates enterprise process analysis, boosting efficiency and accuracy in optimization.","Artificial Intelligence (AI), Information Services, Information Technology",,,"Capital Nuts Investment Management Ltd, CAS Star, Puhua Capital, Sinovation Ventures, UnityVC, Yinqiao Investment Fund, Zhengyang Hengzhuo, Zhuichuang Venture Capital"
Seed Round - Gain,https://www.crunchbase.com/funding_round/gain-18b3-seed--4825a05a,Gain,https://www.crunchbase.com/organization/gain-18b3,Seed,12000000,USD,12000000,2025-09-29,Gain is a new workforce layer that incorporates AI workers who are more than just helpers.,"Artificial Intelligence (AI), Chemical, Energy, Logistics, Manufacturing, Retail, Telecommunications, Warehousing",https://getgain.com/,The Garage,"Bazan Group ltd, BlueRed Partners, The Garage"
Seed Round - Gixel,https://www.crunchbase.com/funding_round/gixel-seed--94934837,Gixel,https://www.crunchbase.com/organization/gixel,Seed,5000000,EUR,5865268,2025-07-23,"Gixel creates AI-powered optics for AR glasses, enabling lightweight, high-quality see-through displays.","Artificial Intelligence (AI), Google Glass, Manufacturing, Telecommunications, Video Conferencing",https://www.gixel.de,Brendan Iribe,"Andre Schwammlein, Brendan Iribe, Daniel Krauss, Jochen Engert, LEA Partners, SPRIN-D, Ted Schilowitz"
Seed Round - Definite,https://www.crunchbase.com/funding_round/definite-bd9d-seed--929a1f52,Definite,https://www.crunchbase.com/organization/definite-bd9d,Seed,10000000,USD,10000000,2025-08-21,"Definite is a data platform that enables businesses to connect, organize, and analyze their data from various sources.","Artificial Intelligence (AI), Data Management, Data Storage, IT Infrastructure, Software",https://www.definite.app,Costanoa Ventures,"Acrew Capital, Costanoa Ventures"
Series A - Strella,https://www.crunchbase.com/funding_round/strella-fd07-series-a--05a1404c,Strella,https://www.crunchbase.com/organization/strella-fd07,Series A,14000000,USD,14000000,2025-10-16,"Strella is a Software as a Service (SaaS) solution that allows innovative product teams to run fast, continuous user research using AI.","Artificial Intelligence (AI), Real Time, SaaS",https://www.strella.io/,Bessemer Venture Partners,"645 Ventures, Bessemer Venture Partners, Decibel Partners, Future Back Ventures by Bain & Company, MVP Ventures"
Series A - Veezoo,https://www.crunchbase.com/funding_round/veezoo-series-a--945e5ab9,Veezoo,https://www.crunchbase.com/organization/veezoo,Series A,6000000,USD,6000000,2025-09-22,Veezoo is a software company that develops analytics solution for business insights from cloud databases using natural-language.,"Analytics, Artificial Intelligence (AI), CRM, Machine Learning",http://www.veezoo.com,ACE Ventures,"ACE Ventures, Mark Nelson, Ted Kummert"
Seed Round - Blocks.diy,https://www.crunchbase.com/funding_round/blocks-diy-seed--880402d5,Blocks.diy,https://www.crunchbase.com/organization/blocks-diy,Seed,10000000,USD,10000000,2025-09-10,Blocks.diy is an AI-native platform that allows any professional to create customized work tools and clever AI agents.,"Artificial Intelligence (AI), Information Technology",https://blocks.diy,monday.com,"Entrée Capital, monday.com, Qumra Capital"
Seed Round - Open Campus,https://www.crunchbase.com/funding_round/open-campus-77db-seed--79d30cc4,Open Campus,https://www.crunchbase.com/organization/open-campus-77db,Seed,5000000,USD,5000000,2025-10-10,A community-led DAO bringing education on-chain.,"Cryptocurrency, E-Learning, Education, Non Profit",https://www.opencampus.xyz/,,"Animoca Brands, Caladan, GameFi Ventures, Kingsway Capital, Polygon, Sequoia Capital, Shima Capital, YZi Labs"
Seed Round - Tuidi,https://www.crunchbase.com/funding_round/tuidi-seed--2404816c,Tuidi,https://www.crunchbase.com/organization/tuidi,Seed,3000000,EUR,3497192,2025-10-07,Tuidi develops virtual assistants of artificial intelligence for consumer goods distribution.,"Artificial Intelligence (AI), Machine Learning, Software",https://www.tuidi.it,"Azimut Holding, Vertis","Azimut Holding, QBerg, Vertis"
Series A - etalytics,https://www.crunchbase.com/funding_round/etalytics-series-a--870dcc44,etalytics,https://www.crunchbase.com/organization/etalytics,Series A,8000000,EUR,9306102,2025-10-21,"etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems.","Artificial Intelligence (AI), Consulting, Software",https://etalytics.com/,M12 - Microsoft's Venture Fund,"Alstin Capital, BM H Beteiligungs-Managementgesellschaft Hessen, Ebm papst, M12 - Microsoft's Venture Fund"
Series A - Brain Co.,https://www.crunchbase.com/funding_round/brain-co-series-a--b13267f2,Brain Co.,https://www.crunchbase.com/organization/brain-co,Series A,30000000,USD,30000000,2025-09-10,"Brain Co. partners with large enterprises and governments to build secure, impactful AI platforms and applications for real-world problems.","Apps, Artificial Intelligence (AI), Generative AI",https://brain.co,"Affinity Partners, Gil Capital","Affinity Partners, Andrej Karpathy, Andrew Liveris, Aravind Srinivas, Brian Armstrong, Fidji Simo, Gil Capital, Jared Kushner, Mark Weinberger, Nikesh Arora, Patrick Collison, Reid Hoffman"
Seed Round - Darwin AI,https://www.crunchbase.com/funding_round/darwin-ai-53bb-seed--ebd16344,Darwin AI,https://www.crunchbase.com/organization/darwin-ai-53bb,Seed,4500000,USD,4500000,2025-08-27,Self-learning plug & play AI employee for non-technical SMBs,"Artificial Intelligence (AI), Information Technology, Software",https://getdarwi.ai,Base10 Partners,"Base10 Partners, Bridge Latam, Canary, Dalus Capital, Latitud"
Seed Round - X.me,https://www.crunchbase.com/funding_round/x-me-seed--5020add1,X.me,https://www.crunchbase.com/organization/x-me,Seed,30000000,USD,30000000,2025-10-01,"X.me is a Web3 version of TikTok, a decentralized social media platform combining short-form video with token-based incentives.","Artificial Intelligence (AI), Social Media, Web3",https://x.me/home,Tido Capital,"Alpha Capital, Genesis Capital, Parallel Ventures, Rollman Management, Tido Capital, WAGMI Ventures, Web3Vision"
Series A - LightSpun,https://www.crunchbase.com/funding_round/32health-series-a--bb78490b,LightSpun,https://www.crunchbase.com/organization/32health,Series A,13000000,USD,13000000,2025-09-04,"LightSpun is an AI-powered platform designed to transform and streamline healthcare administration, specifically dental insurance.","Artificial Intelligence (AI), Enterprise Software, SaaS, Software",https://www.lightspun.com,Brewer Lane Ventures,"Brewer Lane Ventures, Cambrian Ventures, Industry Ventures, Virtue"
Seed Round - Matey,https://www.crunchbase.com/funding_round/matey-seed--0926582d,Matey,https://www.crunchbase.com/organization/matey,Seed,7500000,USD,7500000,2025-08-27,MateyAI is a developer of an AI-powered ediscovery platform designed to search and sort large volumes of electronic data.,"Artificial Intelligence (AI), Electronics, Information Technology",https://www.matey.ai,Timespan Ventures,"Neo, Streamlined, Timespan Ventures"
Series A - Agency AI,https://www.crunchbase.com/funding_round/agency-ai-series-a--e7021f59,Agency AI,https://www.crunchbase.com/organization/agency-ai,Series A,20000000,USD,20000000,2025-11-12,Agency AI helps to manage workflows of B2B Customer Success teams,"Artificial Intelligence (AI), Business Development, Customer Service",https://agency.inc/,Menlo Ventures,"Databricks Ventures, Felicis, Menlo Ventures, Sequoia Capital, Snowflake Ventures"
Series A - Sola,https://www.crunchbase.com/funding_round/sola-2d05-series-a--da28fce6,Sola,https://www.crunchbase.com/organization/sola-2d05,Series A,17500000,USD,17500000,2025-08-14,Sola assists automation-minded companies in building robotic agents that are capable of handling tedious tasks via LLMs and computer vision.,"Artificial Intelligence (AI), Business Process Automation (BPA), Data Center Automation, Machine Learning, Robotics",https://www.sola.ai/,Andreessen Horowitz,"Andreessen Horowitz, Conviction, Y Combinator"
Series B - Tenchijin,https://www.crunchbase.com/funding_round/tenchijin-series-b--0ae9b70b,Tenchijin,https://www.crunchbase.com/organization/tenchijin,Series B,700000000,JPY,4734626,2025-09-02,"Tenchijin is a space tech company that uses satellite data for land evaluation, helping businesses to make informed decisions.","Aerospace, Artificial Intelligence (AI), Big Data, Machine Learning",https://tenchijin.co.jp/?hl=en,"Frontier Innovations, inclusion japan","Development Bank of Japan, Frontier Innovations, Hiroshima Venture Capital, inclusion japan, Iwagin Jigyo Souzou Capital, Leave a Nest, Leave a Nest Capital, NCB Venture Capital, SG INCUBATE, Shinkin Capital"
Series B - MatrixSpace,https://www.crunchbase.com/funding_round/matrixspace-series-b--001cf398,MatrixSpace,https://www.crunchbase.com/organization/matrixspace,Series B,20000000,USD,20000000,2025-10-15,MatrixSpace delivers AI-powered sensor and radar systems together with software for real-time situational awareness.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Remote Sensing",https://matrixspace.com,"OTB Ventures, Raptor Group","L3Harris Technologies, OTB Ventures, Raptor Group"
Seed Round - Fourier Health,https://www.crunchbase.com/funding_round/fourier-health-seed--9240b3a7,Fourier Health,https://www.crunchbase.com/organization/fourier-health,Seed,8400000,USD,8400000,2025-10-17,Fourier Health streamlines clinical data using AI-driven summaries and clinician-in-the-loop systems to reduce workload.,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Software",https://fourierhealth.com,Yosemite,"Innospark Ventures, NextGen Venture Partners, Tau Ventures, Yosemite"
Seed Round - Intuigence AI,https://www.crunchbase.com/funding_round/intuigence-ai-seed--8dc82b61,Intuigence AI,https://www.crunchbase.com/organization/intuigence-ai,Seed,10000000,USD,10000000,2025-07-15,Provider of AI-based industrial data intended to offer advanced industrial generative AI solutions.,"Artificial Intelligence (AI), Manufacturing, Risk Management, Service Industry, Software Engineering, Supply Chain Management",https://intuigence.ai,Innovation Endeavors,"Innovation Endeavors, Recursive Ventures, Think + Ventures"
Seed Round - Flight Science,https://www.crunchbase.com/funding_round/flight-science-seed--6bf6ed6c,Flight Science,https://www.crunchbase.com/organization/flight-science,Seed,5500000,USD,5500000,2025-12-18,Flight Science provides an AI-enabled flight optimization platform for airlines.,"Aerospace, Artificial Intelligence (AI), Software",https://www.flightscience.ai,,
Seed Round - VideoTutor,https://www.crunchbase.com/funding_round/videotutor-seed--a2103e05,VideoTutor,https://www.crunchbase.com/organization/videotutor,Seed,11000000,USD,11000000,2025-10-30,VideoTutor is an AI-powered personalized learning platform that offers interactive video-based tutorials.,"Art, Artificial Intelligence (AI), Video",https://videotutor.io/,YZi Labs,"Amino Capital, Baidu Ventures, BridgeOne Capital, Jinqiu Fund, YZi Labs"
Seed Round - Senpi,https://www.crunchbase.com/funding_round/senpi-7bf6-seed--0da05f7b,Senpi,https://www.crunchbase.com/organization/senpi-7bf6,Seed,4000000,USD,4000000,2025-09-16,"Senpi is an on-chain AI assistant that acts as a mentor, advisor, and companion for crypto users exploring on-chain markets.","Artificial Intelligence (AI), Blockchain, Trading Platform",https://senpi.ai/,"Coinbase Ventures, Lemniscap","Auros, Coinbase Ventures, Lemniscap, Mana Ventures, Primal Capital, SuperLayer"
Seed Round - Hero Assistant,https://www.crunchbase.com/funding_round/hero-assistant-seed--8e7c32cd,Hero Assistant,https://www.crunchbase.com/organization/hero-assistant,Seed,3500000,USD,3500000,2025-09-10,Hero is a comprehensive daily assistant app designed to help users manage and run their life all in one place.,"Artificial Intelligence (AI), Mobile Apps, Software",https://tryhero.app,,"Abstract, Arash Ferdowsi, Forerunner, Ime Archibong, Julie Zhuo, MANTIS Venture Capital, Max Mullen, Neo, Scott Belsky"
Seed Round - ALIGNMT AI,https://www.crunchbase.com/funding_round/alignmt-ai-seed--3c4a6e84,ALIGNMT AI,https://www.crunchbase.com/organization/alignmt-ai,Seed,6500000,USD,6500000,2025-08-28,ALIGNMT AI is a software company that offers a comprehensive AI governance and risk management platform for healthcare organizations.,"Artificial Intelligence (AI), Health Care, Software",https://www.alignmt.ai,AIX Ventures,"AIX Ventures, Alumni Ventures, Dent Capital, Sancus Ventures"
Seed Round - Konvo AI,https://www.crunchbase.com/funding_round/konvoai-seed--22a75292,Konvo AI,https://www.crunchbase.com/organization/konvoai,Seed,3500000,EUR,4129613,2025-09-24,Konvo AI provides a conversational automation platform designed for e-commerce businesses to manage customer interactions.,"Artificial Intelligence (AI), E-Commerce, Intelligent Systems, Software",https://konvoai.com,Samaipata,"Abac Nest, Combination VC, Itnig, JME Ventures, Samaipata, Tomas Pueyo, Xavier Pladellorens"
